Company Name,Ticker,Sector,Market Cap,Exchange
CNO FINL GRP,CNO,Finance,3373.48,NYSE
CENTERPOINT EGY,CNP,Utilities,8234.16,NYSE
CDN NTRL RSRCS,CNQ,Oils-Energy,27344.58,NYSE
COHEN&STRS INC,CNS,Finance,1380.16,NYSE
CON-WAY INC,CNW,Transportation,2126.74,NYSE
CONSOL ENERGY,CNX,Oils-Energy,3011.4,NYSE
CHINA CORD BLD,CO,Medical,558.18,NYSE
COMPASS DIVERSF,CODI,Conglomerates,926.36,NYSE
CAPITAL ONE FIN,COF,Finance,43839.11,NYSE
CABOT OIL & GAS,COG,Oils-Energy,10303.82,NYSE
COACH INC,COH,Consumer Discretionary,9136.81,NYSE
ROCKWELL COLLIN,COL,Aerospace,11278.19,NYSE
COOPER COS,COO,Medical,8448.83,NYSE
CONOCOPHILLIPS,COP,Oils-Energy,60217.13,NYSE
CORESITE REALTY,COR,Finance,1287.02,NYSE
CORENERGY INFRA,CORR,Finance,340.38,NYSE
COTT CORP QUE,COT,Consumer Staples,1213.34,NYSE
COTY INC-A,COTY,Consumer Staples,10304.21,NYSE
COUPONS.COM INC,COUP,Business Services,805.34,NYSE
CDN PAC RLWY,CP,Transportation,25182.19,NYSE
COPA HLDGS SA-A,CPA,Transportation,3341.49,NYSE
CEMENTOS PACASM,CPAC,Construction,862.03,NYSE
CAMPBELL SOUP,CPB,Consumer Staples,15613,NYSE
CALLON PETE-DEL,CPE,Oils-Energy,494.69,NYSE
CENTRAL PAC FIN,CPF,Finance,705.55,NYSE
CRESCENT PT EGY,CPG,Oils-Energy,6838.81,NYSE
COLUMBIA PIPELN,CPGX,Oils-Energy,8734.41,NYSE
CHESAPEAKE UTIL,CPK,Utilities,709.84,NYSE
CPFL ENERGI-ADR,CPL,Utilities,5059.41,NYSE
CALPINE CORP,CPN,Utilities,6117.98,NYSE
COLUMBIA PIPELN,CPPL,Oils-Energy,1106.85,NYSE
COOPER-STANDARD,CPS,Auto-Tires-Trucks,1103.61,NYSE
CAMDEN PPTY TR,CPT,Finance,6915.24,NYSE
CRANE CO,CR,Conglomerates,3040.26,NYSE
CA RESOURCES CP,CRC,Oils-Energy,1551.74,NYSE
CRAWFORD & CO-A,CRD.A,Business Services,372.46,NYSE
CRAWFORD & CO B,CRD.B,Business Services,378.55,NYSE
CRH PLC-ADR,CRH,Construction,24735.79,NYSE
CARTERS INC,CRI,Consumer Discretionary,5152.3,NYSE
CHARLES RVR LAB,CRL,Medical,3510.3,NYSE
SALESFORCE.COM,CRM,Computer and Technology,46157.7,NYSE
CARBO CERAMICS,CRR,Oils-Energy,714.89,NYSE
CARPENTER TECH,CRS,Basic Materials,1914.85,NYSE
CRYOLIFE INC,CRY,Medical,298.33,NYSE
CREDIT SUISSE,CS,Finance,47169.39,NYSE
COMP SCIENCE,CSC,Computer and Technology,8954.8,NYSE
CHAMBERS ST PPT,CSG,Finance,1721.97,NYSE
CASH AM INTL,CSH,Finance,688.63,NYSE
CARLISLE COS IN,CSL,Conglomerates,6625.31,NYSE
CASTLIGHT HLTH,CSLT,Computer and Technology,568.27,NYSE
CSS INDS INC,CSS,Consumer Discretionary,256.24,NYSE
CST BRANDS INC,CST,Retail-Wholesale,2735.66,NYSE
CONSTELLIUM NV,CSTM,Industrial Products,686.17,NYSE
CAPITAL SR LIVG,CSU,Medical,624.13,NYSE
CARRIAGE SVCS-A,CSV,Consumer Staples,420.39,NYSE
CSX CORP,CSX,Transportation,29472.76,NYSE
COOPER TIRE,CTB,Auto-Tires-Trucks,2107.53,NYSE
CENTURYLINK INC,CTL,Computer and Technology,15587.66,NYSE
CATALENT INC,CTLT,Medical,4203.35,NYSE
CTS CORP,CTS,Computer and Technology,623.75,NYSE
CATCHMARK TB TR,CTT,Finance,427.95,NYSE
CUBIC CORP,CUB,Computer and Technology,1172.64,NYSE
CUBESMART,CUBE,Finance,4354.91,NYSE
CUSTOMERS BANCP,CUBI,Finance,669.38,NYSE
BARRACUDA NTWRK,CUDA,Computer and Technology,1378.96,NYSE
CARNIVAL PLC,CUK,Consumer Discretionary,11799.79,NYSE
COUSIN PROP INC,CUZ,Finance,2136.51,NYSE
COVANTA HOLDING,CVA,Oils-Energy,2690.18,NYSE
CABLEVISION SYS,CVC,Consumer Discretionary,7570.89,NYSE
CENOVUS ENERGY,CVE,Oils-Energy,11607.73,NYSE
CONVERGYS CORP,CVG,Business Services,2313.66,NYSE
CVR ENERGY INC,CVI,Oils-Energy,3478.45,NYSE
CVR REFINING LP,CVRR,Oils-Energy,2830.97,NYSE
CVS HEALTH CORP,CVS,Retail-Wholesale,121566.38,NYSE
CVENT INC,CVT,Computer and Technology,1300.86,NYSE
CHEVRON CORP,CVX,Oils-Energy,157490.03,NYSE
CURTISS WRIGHT,CW,Aerospace,3126.61,NYSE
WILLIAMS(C)ENGY,CWEI,Oils-Energy,410.01,NYSE
CALIF WATER SVC,CWT,Utilities,1013.12,NYSE
CEMEX SA ADR,CX,Construction,11430.11,NYSE
CONCHO RESOURCS,CXO,Oils-Energy,12910.92,NYSE
COLUMBIA PPT TR,CXP,Finance,2961.89,NYSE
CORRECTIONS CRP,CXW,Finance,3900.38,NYSE
CHINA YUCHAI,CYD,Auto-Tires-Trucks,561.86,NYSE
COMMNTY HLTH SY,CYH,Medical,6680.87,NYSE
CITY NATIONAL,CYN,Finance,4983.32,NYSE
CYS INVESTMENTS,CYS,Finance,1206.33,NYSE
CYTEC INDS INC,CYT,Basic Materials,5288.26,NYSE
COSAN LTD-A,CZZ,Basic Materials,700.37,NYSE
DOMINION RES VA,D,Utilities,42931.84,NYSE
DANAOS CORP,DAC,Transportation,679.53,NYSE
DELTA AIR LINES,DAL,Transportation,36866.7,NYSE
DANA HOLDING CP,DAN,Auto-Tires-Trucks,2994.03,NYSE
E-COMMRC CH-ADR,DANG,Computer and Technology,559.25,NYSE
DARLING INGRDNT,DAR,Consumer Staples,2038.81,NYSE
TABLEAU SOFTWAR,DATA,Computer and Technology,7240.83,NYSE
DEUTSCHE BK AG,DB,Finance,46562.08,NYSE
DIEBOLD INC,DBD,Computer and Technology,2282.22,NYSE
DONALDSON CO,DCI,Industrial Products,4500.9,NYSE
NTT DOCOMO -ADR,DCM,Computer and Technology,85470.27,NYSE
DUCOMMUN INC DE,DCO,Aerospace,265.87,NYSE
DCT INDUSTRIAL,DCT,Finance,3056.08,NYSE
DU PONT (EI) DE,DD,Basic Materials,48345.5,NYSE
DOMINION DIAMND,DDC,Basic Materials,1064.72,NYSE
3D SYSTEMS CORP,DDD,Computer and Technology,1500.32,NYSE
DDR CORP,DDR,Finance,5914.82,NYSE
DILLARDS INC-A,DDS,Retail-Wholesale,3940.2,NYSE
DEERE & CO,DE,Industrial Products,32001.54,NYSE
EASTRLY GOV PPT,DEA,Finance,376.54,NYSE
DECKERS OUTDOOR,DECK,Consumer Discretionary,2275.04,NYSE
DELHAIZE-LE,DEG,Retail-Wholesale,9401.29,NYSE
DOUGLAS EMMETT,DEI,Finance,4400.69,NYSE
DELTIC TIMBER,DEL,Construction,814.69,NYSE
DIAGEO PLC-ADR,DEO,Consumer Staples,71081.77,NYSE
DEAN FOODS CO,DF,Consumer Staples,1672.95,NYSE
DISCOVER FIN SV,DFS,Finance,23841.77,NYSE
DUPONT FABROS,DFT,Finance,1943.24,NYSE
DOLLAR GENERAL,DG,Retail-Wholesale,23284.43,NYSE
DIGITALGLOBE,DGI,Computer and Technology,1682.11,NYSE
QUEST DIAGNOSTC,DGX,Medical,10397.54,NYSE
D R HORTON INC,DHI,Construction,10456.84,NYSE
DANAHER CORP,DHR,Conglomerates,62238.41,NYSE
DHT HOLDINGS,DHT,Transportation,708.45,NYSE
DHI GROUP INC,DHX,Computer and Technology,442.19,NYSE
DINEEQUITY INC,DIN,Retail-Wholesale,1935.32,NYSE
DISNEY WALT,DIS,Consumer Discretionary,185540.81,NYSE
DELEK US HLDGS,DK,Oils-Energy,1990.46,NYSE
DELEK LOGISTICS,DKL,Oils-Energy,469.46,NYSE
DICKS SPRTG GDS,DKS,Retail-Wholesale,5929.81,NYSE
CHINA DISTANCE,DL,Computer and Technology,485.73,NYSE
DOLBY LAB INC-A,DLB,Consumer Discretionary,3504.67,NYSE
DYNAGAS LNG PTR,DLNG,Transportation,261.23,NYSE
DELPHI AUTO PLC,DLPH,Auto-Tires-Trucks,22517.6,NYSE
DIGITAL RLTY TR,DLR,Finance,9551.29,NYSE
DELUXE CORP,DLX,Business Services,3153.48,NYSE
DOMINION MIDSTR,DM,Oils-Energy,1243.69,NYSE
DUN &BRADST-NEW,DNB,Business Services,4184.02,NYSE
NOW INC,DNOW,Oils-Energy,1947.44,NYSE
DUFF&PHELPS UTL,DNP,Finance,2784.91,NYSE
DENBURY RES INC,DNR,Oils-Energy,1256.4,NYSE
DIAMOND OFFSHOR,DO,Oils-Energy,3017.5,NYSE
PHYSICIANS RLTY,DOC,Finance,1103.95,NYSE
MASONITE INT CP,DOOR,Consumer Discretionary,2031.22,NYSE
DOVER CORP,DOV,Industrial Products,9991.85,NYSE
DOW CHEMICAL,DOW,Basic Materials,52693.64,NYSE
DIPLOMAT PHARMA,DPLO,Retail-Wholesale,3024.21,NYSE
DCP MIDSTREAM,DPM,Oils-Energy,3143.82,NYSE
DR PEPPER SNAPL,DPS,Consumer Staples,15627.84,NYSE
DOMINOS PIZZA,DPZ,Retail-Wholesale,6228.9,NYSE
DUKE REALTY CP,DRE,Finance,6873.38,NYSE
DIAMONDROCK HOS,DRH,Finance,2498.85,NYSE
DARDEN RESTRNT,DRI,Retail-Wholesale,9091.03,NYSE
DIAMOND RESORTS,DRII,Consumer Discretionary,2061.73,NYSE
DRIL-QUIP INC,DRQ,Oils-Energy,2281.27,NYSE
DREYFUS STRATEG,DSM,Finance,379.89,NYSE
DST SYSTEMS,DST,Computer and Technology,3821.69,NYSE
BR-DEBT STRAT F,DSU,Finance,669.15,NYSE
DSW INC CL-A,DSW,Retail-Wholesale,2921.97,NYSE
DIANA SHIPPING,DSX,Transportation,624.08,NYSE
DTE ENERGY CO,DTE,Utilities,14577.04,NYSE
DUFF & PHELPS U,DUC,Finance,256.8,NYSE
DUKE ENERGY CP,DUK,Utilities,51969,NYSE
DEVRY EDUCATION,DV,Consumer Discretionary,1834.5,NYSE
DAVITA HEALTHCR,DVA,Medical,17414.52,NYSE
DEVON ENERGY,DVN,Oils-Energy,19079.15,NYSE
ISHARS-SEL DIV,DVY,Finance,13686.38,NYSE
DREW INDS INC,DW,Auto-Tires-Trucks,1379.33,NYSE
DEMANDWARE,DWRE,Computer and Technology,2199.84,NYSE
DYNEX CAP INC,DX,Finance,352.93,NYSE
DYCOM INDS,DY,Construction,2153.02,NYSE
DYNEGY INC-NEW,DYN,Utilities,2911.55,NYSE
ENI SPA-ADR,E,Oils-Energy,63870.82,NYSE
BRINKER INTL,EAT,Retail-Wholesale,3437.62,NYSE
ENNIS INC,EBF,Industrial Products,430.01,NYSE
ELETROBRAS-ADR,EBR,Utilities,2069.53,NYSE
ELETROBRAS-B,EBR.B,Utilities,631.74,NYSE
EMERGENT BIOSOL,EBS,Medical,1320.63,NYSE
ECOPETROL- ADR,EC,Oils-Energy,20969.52,NYSE
ENCANA CORP,ECA,Oils-Energy,5830.1,NYSE
EAGLE POINT CRD,ECC,Finance,278.29,NYSE
ECOLAB INC,ECL,Basic Materials,34051.95,NYSE
CHANNELADVISOR,ECOM,Computer and Technology,288.32,NYSE
ECLIPSE RESRCS,ECR,Oils-Energy,923.5,NYSE
CONSOL EDISON,ED,Utilities,19080.94,NYSE
EMPIRE DISTRICT,EDE,Utilities,1009.05,NYSE
EMP DISTRIB Y C,EDN,Utilities,583.31,NYSE
EDUCATION RLTY,EDR,Finance,1476.61,NYSE
NEW ORIENTAL ED,EDU,Consumer Discretionary,3601.61,NYSE
EL PASO ELEC CO,EE,Utilities,1479.15,NYSE
ENBRIDGE EGY PT,EEP,Oils-Energy,7263.16,NYSE
ENBRIDGE ENERGY,EEQ,Oils-Energy,2018.13,NYSE
ELLINGTON FINL,EFC,Finance,612.14,NYSE
EQUIFAX INC,EFX,Business Services,12189.77,NYSE
ENGILITY HLDGS,EGL,Aerospace,1118.73,NYSE
ENERGEN CORP,EGN,Oils-Energy,4003.17,NYSE
ELDORADO GOLD,EGO,Basic Materials,2379.07,NYSE
EASTGROUP PPTYS,EGP,Finance,1889.08,NYSE
EHI CAR SERVICE,EHIC,Consumer Discretionary,327.85,NYSE
EMPLOYERS HLDGS,EIG,Finance,803.81,NYSE
EDISON INTL,EIX,Utilities,19877.73,NYSE
E-HOUSE CHINA,EJ,Finance,908.8,NYSE
ESTEE LAUDER,EL,Consumer Staples,34233.67,NYSE
ELLIE MAE INC,ELLI,Computer and Technology,2301.42,NYSE
COPEL-ADR PR B,ELP,Utilities,2547.73,NYSE
EQUITY LIFESTYL,ELS,Finance,4885.83,NYSE
CALLAWAY GOLF,ELY,Consumer Discretionary,713.47,NYSE
EMC CORP -MASS,EMC,Computer and Technology,52437,NYSE
WESTN AST EM MK,EMD,Finance,297.75,NYSE
EMCOR GROUP INC,EME,Construction,2986.53,NYSE
EMERGE ENRG SVC,EMES,Oils-Energy,467.98,NYSE
EASTMAN CHEM CO,EMN,Basic Materials,11398.07,NYSE
EMERSON ELEC CO,EMR,Industrial Products,32873.92,NYSE
ENBRIDGE INC,ENB,Oils-Energy,36587.8,NYSE
ENABLE MIDSTRM,ENBL,Oils-Energy,3394.33,NYSE
ENDURANCE SPLTY,ENH,Finance,3069.98,NYSE
ENERSIS S A ADR,ENI,Utilities,14177.99,NYSE
ENLINK MIDS LLC,ENLC,Oils-Energy,3969.15,NYSE
ENLINK MIDST LP,ENLK,Oils-Energy,4447.73,NYSE
ENERGIZER HLDGS,ENR,Consumer Staples,2521.93,NYSE
ENERSYS INC,ENS,Industrial Products,2404.47,NYSE
ENVESTNET INC,ENV,Business Services,1555.32,NYSE
ENOVA INTL INC,ENVA,Finance,438.24,NYSE
ENDESA-CHILE,EOC,Utilities,11086.04,NYSE
EOG RES INC,EOG,Oils-Energy,40489.38,NYSE
EPAM SYSTEMS,EPAM,Computer and Technology,3465.41,NYSE
EDGEWELL PERSNL,EPC,Consumer Staples,5761.81,NYSE
ENTERPRISE PROD,EPD,Oils-Energy,52943.86,NYSE
EP ENERGY CP-A,EPE,Oils-Energy,1753.15,NYSE
EPR PROPERTIES,EPR,Finance,3197.27,NYSE
EQUITY COMMONWL,EQC,Finance,3509.09,NYSE
EQT GP HOLDINGS,EQGP,Oils-Energy,8030.2,NYSE
EQT MIDSTRM PTR,EQM,Oils-Energy,5348.35,NYSE
EQUITY RESIDENT,EQR,Finance,27376.63,NYSE
EQT CORP,EQT,Oils-Energy,11320.57,NYSE
EQUITY ONE INC,EQY,Finance,3284.44,NYSE
ERA GROUP INC,ERA,Transportation,366.99,NYSE
ENERPLUS CORP,ERF,Oils-Energy,1257.97,NYSE
EMBRAER AIR-ADR,ERJ,Aerospace,5132.07,NYSE
EROS INTL PLC,EROS,Consumer Discretionary,1141.76,NYSE
EVERSOURCE EGY,ES,Utilities,15818.87,NYSE
ESCO TECH INC,ESE,Industrial Products,961.94,NYSE
ESTERLINE TECHN,ESL,Aerospace,2660.36,NYSE
ESSENT GROUP,ESNT,Finance,2452.71,NYSE
EMPIRE STATE RE,ESRT,Finance,1989.78,NYSE
ESSEX PPTY TR,ESS,Finance,14764.76,NYSE
ENSCO PLC,ESV,Oils-Energy,3935.84,NYSE
ENERGY TRAN EQT,ETE,Oils-Energy,29539.24,NYSE
ETHAN ALLEN INT,ETH,Retail-Wholesale,874.55,NYSE
ENTERCOM COMMUN,ETM,Consumer Discretionary,411.07,NYSE
EATON CORP PLC,ETN,Industrial Products,27979.88,NYSE
ENERGY TRAN PTR,ETP,Oils-Energy,23396,NYSE
ENTERGY CORP,ETR,Utilities,12613.22,NYSE
EURONAV SA,EURN,Transportation,2310.12,NYSE
EATON VANCE,EV,Finance,4554.61,NYSE
ENTRAVISION COM,EVC,Consumer Discretionary,700.52,NYSE
EVERYDAY HEALTH,EVDY,Computer and Technology,378.82,NYSE
EVERBANK FIN CP,EVER,Finance,2526.03,NYSE
EVOLENT HEALTH,EVH,Computer and Technology,386.08,NYSE
ENVISION HLTHCR,EVHC,Medical,8190.91,NYSE
EATON VANCE MUN,EVN,Finance,305.02,NYSE
EVERCORE PARTNR,EVR,Finance,2097.1,NYSE
EVERTEC INC,EVTC,Business Services,1486.91,NYSE
EDWARDS LIFESCI,EW,Medical,15473.7,NYSE
EXAMWORKS GROUP,EXAM,Business Services,1490.71,NYSE
EXAR CORP,EXAR,Computer and Technology,309.17,NYSE
EXELON CORP,EXC,Utilities,27950.89,NYSE
EXTERRAN HLDGS,EXH,Oils-Energy,1646.43,NYSE
EAGLE MATERIALS,EXP,Construction,3994.32,NYSE
EXPRESS INC,EXPR,Retail-Wholesale,1570.13,NYSE
EXTRA SPACE STG,EXR,Finance,9298.61,NYSE
FORD MOTOR CO,F,Auto-Tires-Trucks,58724,NYSE
FIRST AMER FINL,FAF,Finance,4364.23,NYSE
FLAGSTAR BANCP,FBC,Finance,1130.98,NYSE
FORTUNE BRD H&S,FBHS,Retail-Wholesale,7710.61,NYSE
FIRST BNCRP P R,FBP,Finance,865.93,NYSE
FIBRIA CELULOSE,FBR,Basic Materials,7744.01,NYSE
FRANKLIN COVEY,FC,Business Services,289.21,NYSE
FIAT CHRYSLER,FCAU,Auto-Tires-Trucks,21008.44,NYSE
FCB FINL HLDGS,FCB,Finance,1216.52,NYSE
FOREST CITY  A,FCE.A,Finance,4931.83,NYSE
FOREST CITY-B,FCE.B,Finance,4944.72,NYSE
FIRST COMW FINL,FCF,Finance,820.21,NYSE
FELCOR LODGING,FCH,Finance,1214.02,NYSE
FTI CONSULTING,FCN,Business Services,1650.63,NYSE
FREEPT MC COP-B,FCX,Basic Materials,10951.67,NYSE
FRESH DEL MONTE,FDP,Consumer Staples,1993.22,NYSE
FACTSET RESH,FDS,Business Services,7033.27,NYSE
FEDEX CORP,FDX,Transportation,47162.98,NYSE
FIRSTENERGY CP,FE,Utilities,14473.24,NYSE
FORESIGHT EGY,FELP,Oils-Energy,509.38,NYSE
PHOENIX NEW MED,FENG,Consumer Discretionary,477.58,NYSE
FORUM ENRG TECH,FET,Oils-Energy,1316.33,NYSE
FUTUREFUEL CORP,FF,Oils-Energy,475.26,NYSE
FBL FINL GRP-A,FFG,Finance,1404.12,NYSE
FIDELITY&GUARNT,FGL,Finance,1516.03,NYSE
FERRELLGAS -LP,FGP,Oils-Energy,2058.99,NYSE
FIRST HRZN NATL,FHN,Finance,3711.57,NYSE
FRANKS INTL NV,FI,Oils-Energy,2304.16,NYSE
FAIR ISAAC INC,FICO,Computer and Technology,2822.04,NYSE
FORTRESS INVEST,FIG,Finance,2752.83,NYSE
FEDERATED INVST,FII,Finance,3521.91,NYSE
FIDELITY NAT IN,FIS,Business Services,18359.96,NYSE
FITBIT INC,FIT,Computer and Technology,1561.02,NYSE
COMFORT SYSTEMS,FIX,Construction,1068.3,NYSE
FOOT LOCKER INC,FL,Retail-Wholesale,9894.69,NYSE
FLOWERS FOODS,FLO,Consumer Staples,4581.78,NYSE
FLUOR CORP-NEW,FLR,Construction,6878.99,NYSE
FLOWSERVE CORP,FLS,Industrial Products,6260.29,NYSE
FLEETCOR TECH,FLT,Finance,14688.8,NYSE
FLEETMATICS GRP,FLTX,Computer and Technology,1955.66,NYSE
FLY LEASING LTD,FLY,Transportation,591.5,NYSE
FMC CORP,FMC,Basic Materials,6325.51,NYSE
FRESENIUS MED,FMS,Medical,25318.69,NYSE
FAIRMOUNT SNTRL,FMSA,Industrial Products,927.71,NYSE
FOMENTO ECO-ADR,FMX,Consumer Staples,32812.37,NYSE
FABRINET,FN,Computer and Technology,662.47,NYSE
FNB CORP,FNB,Finance,2343.59,NYSE
FNF GROUP,FNF,Finance,10917.01,NYSE
FNFV GROUP,FNFV,Finance,1152.26,NYSE
FRANCO NV CP,FNV,Basic Materials,6364.69,NYSE
FERRO CORP,FOE,Basic Materials,1189.49,NYSE
FORESTAR GROUP,FOR,Finance,427.63,NYSE
FIRST POTOMAC,FPO,Finance,682.77,NYSE
FIRST INDL RLTY,FR,Finance,2324.54,NYSE
FIRST REP BK SF,FRC,Finance,8779.74,NYSE
FURMANITE CORP,FRM,Business Services,259.51,NYSE
FRONTLINE LTD,FRO,Transportation,349.94,NYSE
FED RLTY INV,FRT,Finance,9382.65,NYSE
FRANKLIN FNL NW,FSB,Finance,252.28,NYSE
FS INVESTMENT,FSIC,Finance,2419.45,NYSE
FREESCALE SEMI,FSL,Computer and Technology,12280.72,NYSE
FORTUNA SILVER,FSM,Basic Materials,347.05,NYSE
FED SIGNAL CP,FSS,Conglomerates,888.79,NYSE
FORTRESS TR&INF,FTAI,Finance,1161.35,NYSE
FMC TECH INC,FTI,Oils-Energy,7460.2,NYSE
FLOTEK INDU INC,FTK,Oils-Energy,979.42,NYSE
FULLER(HB) CO,FUL,Basic Materials,1997.32,NYSE
CEDAR FAIR,FUN,Consumer Discretionary,3010.99,NYSE
WINTHROP REALTY,FUR,Finance,535.45,NYSE
GENPACT LTD,G,Business Services,4997.37,NYSE
GABELLI EQUITY,GAB,Finance,1326.43,NYSE
GENL AMER INV,GAM,Finance,1033.51,NYSE
AGL RESOURCES,GAS,Utilities,5848.29,NYSE
GREATBATCH INC,GB,Computer and Technology,1307.75,NYSE
GAMCO INVESTORS,GBL,Finance,1679.96,NYSE
GREENBRIER COS,GBX,Transportation,1282.72,NYSE
GLOBAL CASH ACS,GCA,Finance,318.46,NYSE
GAIN CAP HLDGS,GCAP,Finance,391.49,NYSE
GANNETT CO INC,GCI,Consumer Staples,1705.65,NYSE
GENESCO INC,GCO,Retail-Wholesale,1508.09,NYSE
GENL DYNAMICS,GD,Aerospace,48318.68,NYSE
GODADDY INC-A,GDDY,Computer and Technology,1710.34,NYSE
GREEN DOT CP-A,GDOT,Business Services,942.48,NYSE
GENL ELECTRIC,GE,Conglomerates,260386.91,NYSE
GREIF INC,GEF,Industrial Products,1497.37,NYSE
GREIF BROS-CL B,GEF.B,Industrial Products,846.09,NYSE
GENESIS ENERGY,GEL,Oils-Energy,4375.57,NYSE
GENESIS HLTHCR,GEN,Medical,1067.19,NYSE
GEO GRP INC/THE,GEO,Finance,2577.87,NYSE
GUESS INC,GES,Consumer Discretionary,1839.83,NYSE
GAFISA SA-ADR,GFA,Construction,264.65,NYSE
GRIFFON CORP,GFF,Conglomerates,861.68,NYSE
GOLD FIELDS-ADR,GFI,Basic Materials,1929.48,NYSE
GOLDCORP INC,GG,Basic Materials,11155.2,NYSE
GERDAU SA ADR,GGB,Basic Materials,2888.31,NYSE
GRACO INC,GGG,Industrial Products,4122.43,NYSE
GENL GRWTH PPTY,GGP,Finance,24592.13,NYSE
GRAHAM HOLDINGS,GHC,Consumer Discretionary,3989.07,NYSE
GREENHILL & CO,GHL,Finance,1147.43,NYSE
ENDOCHOICE HLDG,GI,Medical,393.4,NYSE
CGI GRP INC -A,GIB,Computer and Technology,10652.13,NYSE
GILDAN ACTVWEAR,GIL,Consumer Discretionary,7970.95,NYSE
TEMPLETON GLBL,GIM,Finance,916.2,NYSE
GIGAMON INC,GIMO,Computer and Technology,847.09,NYSE
GENL MILLS,GIS,Consumer Staples,35391.4,NYSE
GLAUKOS CORP,GKOS,Medical,929.11,NYSE
GLOBANT SA,GLOB,Computer and Technology,1057.96,NYSE
GASLOG LTD,GLOG,Transportation,1127.75,NYSE
GASLOG PARTNERS,GLOP,Transportation,260.37,NYSE
GLOBAL PARTNERS,GLP,Oils-Energy,1000.5,NYSE
GLATFELTER,GLT,Basic Materials,808.46,NYSE
CORNING INC,GLW,Computer and Technology,22226.2,NYSE
GENERAL MOTORS,GM,Auto-Tires-Trucks,50276.06,NYSE
GAMESTOP CORP,GME,Retail-Wholesale,4820.54,NYSE
GLOBUS MEDICAL,GMED,Medical,1869.42,NYSE
GRUMA SA-ADR B,GMK,Basic Materials,5784.76,NYSE
GATX CORP,GMT,Transportation,2149.2,NYSE
GNC HOLDINGS,GNC,Retail-Wholesale,4256.55,NYSE
GENCO SHPG&TRDG,GNK,Transportation,524.14,NYSE
GLOBAL NET LEAS,GNL,Finance,1376.93,NYSE
GENERAC HOLDING,GNRC,Computer and Technology,1928.62,NYSE
GENER8 MARITIME,GNRT,Transportation,1104.66,NYSE
GENWORTH FINL,GNW,Finance,2397.42,NYSE
GOL LINHAS-ADR,GOL,Transportation,427.59,NYSE
GOVT PPTYS INCM,GOV,Finance,1179.28,NYSE
GENUINE PARTS,GPC,Auto-Tires-Trucks,13390.56,NYSE
GROUP 1 AUTO,GPI,Retail-Wholesale,2235.31,NYSE
GRAPHIC PKG HLD,GPK,Industrial Products,4924.02,NYSE
GLOBAL PAYMENTS,GPN,Business Services,7341.52,NYSE
GAP INC,GPS,Retail-Wholesale,14561.52,NYSE
GRAMERCY PROPRT,GPT,Finance,1330.46,NYSE
GP STRATEGIES,GPX,Consumer Discretionary,438.28,NYSE
GRACE (WR) NEW,GRA,Basic Materials,7271.49,NYSE
GRANA Y MONTERO,GRAM,Construction,718.14,NYSE
GRANITE RE INV,GRP.U,Finance,1431.67,NYSE
GRUBHUB INC,GRUB,Computer and Technology,2421.35,NYSE
GOLDMAN SACHS,GS,Finance,88063.28,NYSE
GOLDMAN SAC BDC,GSBD,Finance,878.9,NYSE
GUANGSHEN-ADR,GSH,Transportation,3589.94,NYSE
GLAXOSMITHKLINE,GSK,Medical,109051.9,NYSE
GLOBAL SHIP LS,GSL,Transportation,292.85,NYSE
